PostalCode,Borough,Neighborhood,Latitude,Longitude
M1B,Scarborough,"Malvern, Rouge",43.81015396118164,-79.1946029663086
M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.784671783447266,-79.1589584350586
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.76628875732422,-79.17288970947266
M1G,Scarborough,Woburn,43.768287658691406,-79.214111328125
M1H,Scarborough,Cedarbrae,43.76918029785156,-79.23876953125
M1J,Scarborough,Scarborough Village,43.74393844604492,-79.23135375976562
M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.72580337524414,-79.26284790039062
M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.71665573120117,-79.28653717041016
M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.723575592041016,-79.23445129394531
M1N,Scarborough,"Birch Cliff, Cliffside West",43.69788360595703,-79.25875854492188
M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.759883880615234,-79.2683334350586
M1R,Scarborough,"Wexford, Maryvale",43.75130081176758,-79.29981231689453
M1S,Scarborough,Agincourt,43.797706604003906,-79.26770782470703
M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.78499984741211,-79.29935455322266
M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.81781005859375,-79.28651428222656
M1W,Scarborough,"Steeles West, L'Amoreaux West",43.80156326293945,-79.3188705444336
M1X,Scarborough,Upper Rouge,43.834434509277344,-79.21891021728516
M2H,North York,Hillcrest Village,43.802940368652344,-79.35606384277344
M2J,North York,"Fairview, Henry Farm, Oriole",43.7811393737793,-79.3485107421875
M2K,North York,Bayview Village,43.779415130615234,-79.37744140625
M2L,North York,"York Mills, Silver Hills",43.75759506225586,-79.3807373046875
M2M,North York,"Willowdale, Newtonbrook",43.79217529296875,-79.41384887695312
M2N,North York,WillowdaleSouth,43.768280029296875,-79.40745544433594
M2P,North York,York Mills West,43.74917984008789,-79.39917755126953
M2R,North York,WillowdaleWest,43.77717590332031,-79.44265747070312
M3A,North York,Parkwoods,43.75125503540039,-79.32989501953125
M3B,North York,Don MillsNorth,43.7491340637207,-79.36200714111328
M3C,North York,Don MillsSouth(Flemingdon Park,43.72586441040039,-79.34461975097656
M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.74726867675781,-79.44499206542969
M3J,North York,"Northwood Park, York University",43.7646598815918,-79.49041748046875
M3K,North York,DownsviewEast (CFB Toronto,43.7376594543457,-79.46732330322266
