,PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,M1B,Scarborough,"Malvern, Rouge",43.81015396118164,-79.1946029663086,2,Fast Food Restaurant,Yoga Studio,Flea Market,Fish & Chips Shop,Field,Farmers Market,Farm,Falafel Restaurant,Event Space,Ethiopian Restaurant
1,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.78467178344727,-79.1589584350586,3,Bar,Donut Shop,Fish Market,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Event Space
2,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.76628875732422,-79.17288970947266,1,Gym / Fitness Center,Construction & Landscaping,Athletics & Sports,Park,Event Space,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant,Ethiopian Restaurant
3,M1G,Scarborough,Woburn,43.768287658691406,-79.214111328125,3,Soccer Field,Business Service,Korean Restaurant,Yoga Studio,Dumpling Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant
4,M1H,Scarborough,Cedarbrae,43.76918029785156,-79.23876953125,3,Construction & Landscaping,Gaming Cafe,Trail,Ethiopian Restaurant,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant,Event Space,Donut Shop
5,M1J,Scarborough,Scarborough Village,43.74393844604492,-79.23135375976562,3,Restaurant,Grocery Store,Indian Restaurant,Train Station,Farmers Market,Farm,Falafel Restaurant,Event Space,Ethiopian Restaurant,Distribution Center
6,M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.72580337524414,-79.26284790039062,3,Department Store,Hobby Shop,Discount Store,Coffee Shop,Yoga Studio,Electronics Store,Elementary School,Empanada Restaurant,Ethiopian Restaurant,Event Space
7,M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.71665573120117,-79.28653717041016,3,Soccer Field,Pub,Coffee Shop,Yoga Studio,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant,Ethiopian Restaurant
8,M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.723575592041016,-79.23445129394531,3,Ice Cream Shop,Pizza Place,Liquor Store,Sandwich Place,Discount Store,Coffee Shop,Burger Joint,Hardware Store,Pharmacy,Cupcake Shop
9,M1N,Scarborough,"Birch Cliff, Cliffside West",43.69788360595703,-79.25875854492188,1,Park,College Stadium,General Entertainment,Skating Rink,Gym Pool,Gym,Empanada Restaurant,Dumpling Restaurant,Eastern European Restaurant,Electronics Store
10,M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.75988388061523,-79.2683334350586,3,Bakery,Gift Shop,Wine Shop,Ethiopian Restaurant,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant,Event Space
11,M1R,Scarborough,"Wexford, Maryvale",43.75130081176758,-79.29981231689453,4,Convenience Store,Auto Garage,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant,Ethiopian Restaurant,Event Space,Falafel Restaurant,Donut Shop
12,M1S,Scarborough,Agincourt,43.797706604003906,-79.26770782470703,3,Chinese Restaurant,Coffee Shop,Hong Kong Restaurant,Badminton Court,Shanghai Restaurant,Bubble Tea Shop,Sandwich Place,Supermarket,Sushi Restaurant,Discount Store
13,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.78499984741211,-79.29935455322266,0,Shopping Mall,Pizza Place,Pharmacy,Coffee Shop,Yoga Studio,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant
14,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.81781005859375,-79.28651428222656,1,Playground,Park,Pharmacy,Gym,Shopping Plaza,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Elementary School,Empanada Restaurant
15,M1W,Scarborough,"Steeles West, L'Amoreaux West",43.80156326293945,-79.3188705444336,3,Chinese Restaurant,Fast Food Restaurant,Bubble Tea Shop,Thrift / Vintage Store,Pizza Place,Pharmacy,Other Great Outdoors,Coffee Shop,Sandwich Place,Electronics Store
